title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious,latitude,longitude
Kathmandu Durbar Square,4,4711,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False,27.7041718,85.3044636
Chitwan National Park,4.5,555,"['National Parks', 'Nature & Wildlife Areas']",False,False,True,False,False,False,False,False,False,27.5341022,84.4502779
Gupteswar Gupha,4,480,['Caverns & Caves'],False,False,True,False,False,False,False,False,False,28.1895731,83.9556493
Trisuli River,4.5,29,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.1169245,84.3567621
Devi's Fall,3,1459,['Waterfalls'],False,False,False,False,False,False,False,False,False,28.1901905,83.9570246
Gurkha Memorial Museum,4.5,310,['History Museums'],True,True,False,False,False,False,False,False,False,28.2462382,83.9863958
Muktinath Temple,4.5,134,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.8166048,83.8692402
Barahi temple,4,388,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.2074625,83.9513582
Maya Devi Temple,4.5,446,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.4696415,83.2735961
Annapurna Base Camp Trek,5,25,['Hiking Trails'],False,False,True,True,False,False,False,False,False,27.6934331,85.2976855
Annapurna Mountain Range,5,537,"['Mountains', 'Hiking Trails']",False,False,True,False,False,False,False,False,False,28.5739679,83.8388281
Bindhya Basini Temple,4,222,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.2378194,83.9820218
Kala Patthar,5,60,['Mountains'],False,False,True,False,False,False,False,False,False,27.9833317,86.799157
Asan,4.5,243,['Flea & Street Markets'],False,False,False,False,True,False,False,False,False,27.7074924,85.3100657
Bishazari Tal,5,4,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.6178328,84.435374
Jomsom Muktinath Trek,4.5,56,['Hiking Trails'],False,False,True,True,False,False,False,False,False,27.6934331,85.2976855
Shivapuri Nagarjun National Park,4.5,135,['National Parks'],False,False,True,False,False,False,False,False,False,27.8120756,85.3671918
Mahaboudha Temple,4.5,61,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6934331,85.2976855
Kailashnath Mahadev,4.5,112,['Monuments & Statues'],True,True,False,False,False,False,False,False,True,27.6461062,85.4720758
Dakshinkali Temple,4.5,235,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.605107,85.2612812
Budhanilkantha,4.5,372,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7677291,85.2909879
Krisnhna Mandir Temple (Chayasim Deval),4.5,114,"['Historic Sites', 'Religious Sites']",True,True,False,False,False,False,False,False,False,27.6735983,85.3227425
Jangchub Choeling Tibetan Monastery,4.5,18,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6934331,85.2976855
Nagarkot Nature Trail,4.5,67,"['Nature & Wildlife Areas', 'Hiking Trails']",False,False,True,True,False,False,False,False,False,27.7150971,85.4919422
Pokhara Lakeside,4.5,47,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,28.2112292,83.9531099
Hanuman Dhoka,4.5,589,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False,27.7047458,85.3049407
Mahendra Cave,3,183,['Caverns & Caves'],False,False,True,False,False,False,False,False,False,28.2716656,83.9773229
Changu Narayan,4.5,497,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7023114,85.4016892
The Crematoria,4,1468,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7063725,85.3462654
Seti River Gourge,3.5,111,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False,28.2453882,83.9871301
Seti Gandaki (Seti River),4,158,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.8204495,84.2343924
Bat Cave,3.5,198,"['Nature & Wildlife Areas', 'Caverns & Caves']",False,False,True,True,False,False,False,False,False,28.2674636,83.9737408
Tiger Residency Resort,4,22,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False,27.577886,84.4965698
Sherpa Museum,4.5,80,['Speciality Museums'],False,False,False,False,False,False,False,False,False,27.8050873,86.7121605
Langtang Valley,5,52,['Valleys'],False,False,True,False,False,False,False,False,False,28.0490282,84.9966267
Thrangu Tashi Monastery,4.5,169,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6931555,85.0525016
Pathibhara Devi Temple,5,8,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.4291137,87.7660256
Patan Royal Palace,4.5,30,['Historic Sites'],True,True,False,False,False,False,False,False,False,27.6726981,85.3231324
Janaki Temple,4.5,64,['Religious Sites'],True,True,False,False,False,False,False,False,True,26.7304199,85.9235043
Kumari Chowk,4,785,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6934331,85.2976855
Thani Mai Temple,4.5,31,"['Lookouts', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.999726,84.3313466
Sagarmatha National Park Museum,4.5,11,['Speciality Museums'],False,False,False,False,False,False,False,False,False,27.8030238,86.7126631
Rupa Lake,4,43,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.1537215,84.1054594
Tushita-Nepal,4.5,16,"['Mysterious Sites', 'Religious Sites']",True,True,True,True,False,False,False,False,False,28.2009937,83.9395307
Kali Gandaki River,4.5,18,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.4123787,82.8085131
Matepani Gumba,4.5,8,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.2164788,84.0052148
Rudra Varna Mahavihar,4.5,29,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6682072,85.3250058
Khumbeshwar Temple,4.5,55,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6765402,85.3238034
Annapurna Butterfly Museum,4,42,['Speciality Museums'],False,False,False,False,False,False,False,False,False,28.2389619,83.9883666
Narayanhiti Palace Museum,4,298,['Speciality Museums'],False,False,False,False,False,False,False,False,False,27.7149634,85.3161398
Babar Mahal Revisted,4.5,90,['Architectural Buildings'],True,True,False,False,False,False,False,False,False,27.6942629,85.3204241
"Pandeli Park, Sarangkot",4.5,11,['Parks'],False,False,False,False,False,False,False,False,False,28.2385847,83.9380856
Labim Mall,4.5,21,['Shopping Malls'],False,False,False,False,True,False,False,False,False,27.6772126,85.3148293
Basantapur Tower,4.5,308,['Lookouts'],True,True,True,False,False,False,False,False,False,27.6934331,85.2976855
Tatopani Hot Spring,3.5,14,['Hot Springs & Geysers'],False,False,False,False,False,True,False,False,False,28.4960928,83.6366962
The Central Zoo,3.5,88,['Zoos'],False,False,True,False,True,False,False,False,False,27.672704,85.3096407
yogconnection,5,9,['Sports Camps & Clinics'],False,False,False,True,False,True,False,False,False,28.2222151,83.9563447
Buddhasubba Temple,4.5,13,['Religious Sites'],True,True,False,False,False,False,False,False,True,26.8232426,87.2914322
Adam Tribe Organic Farm,5,17,['Farms'],False,False,False,False,False,True,False,True,False,28.2130843,83.848955
Mangal Bazar,4,28,['Flea & Street Markets'],False,False,False,False,True,False,False,False,False,27.6740932,85.3187229
Phulchoki,4.5,33,['Mountains'],False,False,True,False,False,False,False,False,False,27.5711011,85.3880407
Kedareshwar Mahadev Mani Temple,4,8,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6934331,85.2976855
Makwanpur Gadhi,4.5,11,['Historic Sites'],True,True,False,False,False,False,False,False,False,27.4082132,85.0592719
Dudh Koshi River,5,18,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.3835589,86.2999803
Machapuchare,5,81,['Mountains'],False,False,True,False,False,False,False,False,False,28.5043724,83.9295385
Mt Ama Dablam,5,36,['Mountains'],False,False,True,False,False,False,False,False,False,27.8618732,86.8436534
Bhimsen Temple,4,40,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6934331,85.2976855
Klod Fashion Exquisite,5,5,['Shopping Malls'],False,False,False,False,True,False,False,False,False,28.2221901,83.9858168
Manakamana Temple,4.5,145,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.9041371,84.5820892
Pokhara Museum,4,57,['History Museums'],True,True,False,False,False,False,False,False,False,28.2054279,83.9006171
Kala Pattar,5,84,['Mountains'],False,False,True,False,False,False,False,False,False,27.9833317,86.799157
BIG Splash,4,4,['Water Parks'],False,False,False,False,True,False,False,False,False,27.9318865,84.0734891
Budhanilakantha Temple,4.5,130,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7702644,85.34212
Pullahari Monastery,4.5,60,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7367119,85.3674093
Everest View Point,5,18,['Lookouts'],True,True,True,False,False,False,False,False,False,27.7935331,86.7137458
Khumbu Glacier,5,29,"['Points of Interest & Landmarks', 'Geologic Formations']",True,True,True,False,False,False,False,False,False,27.9684111,86.798214
Kulekhani Dam,4.5,13,['Dams'],False,False,True,False,False,False,False,False,False,27.5909904,85.1548147
Shree Gaden Dhargay Ling Monastery,4,15,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.1888521,83.9550331
National Botanical Gardens,4,61,['Gardens'],False,False,False,False,False,False,False,False,False,27.5969324,85.3779545
Muktinath Temple,5,23,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.8166048,83.8692402
Tharu Cultural Museum and Research Center,4.5,15,"['Speciality Museums', 'Natural History Museums']",False,False,False,False,False,False,False,False,False,27.5823711,84.5055259
Shree Gahawamai Temple,4.5,12,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.0123295,84.8761325
Kyanjin Gompa,5,58,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,28.2149638,85.515207
Chitwan Tharu Village,4,203,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.7172041,84.2610913
Ilam Tea Garden,4.5,16,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False,27.2243468,85.6614428
World Peace Pagoda,4.5,116,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False,27.4989036,83.2740834
Koshi Tappu Wildlife Reserve,4,13,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False,26.6474567,87.000252
Rara Lake,5,43,['Bodies of Water'],False,False,True,False,False,False,False,False,False,29.5291797,82.0583328
Kriayt Social Business,4.5,9,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.6795888,85.3029205
Jaganath (Krishna) Temple,4,139,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6891455,85.2985668
Dipang Lake,3.5,11,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.1804559,84.0673346
Kafuche Lake,4,1,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.7172041,84.2610913
Indra Chowk,4,83,['Historic Walking Areas'],True,True,False,False,False,False,False,False,False,27.7057217,85.3073225
Gurunghe Hill,5,9,"['Mountains', 'Lookouts']",False,False,True,False,False,False,False,False,False,27.692168,85.5177437
Ramgram Stupa,5,6,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.4980247,83.6788031
Kathesimbu Stupa,4.5,91,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7215062,85.3598087
Basundhara Park,3.5,3,['Parks'],False,False,False,False,False,False,False,False,False,28.2027712,83.9626461
Nuwakot Durbar,4.5,39,['Historic Sites'],True,True,False,False,False,False,False,False,False,27.9137294,85.1624269
Nyatapola Temple,4.5,267,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6713593,85.4271398
Whoopee Land Amusement and Water Park,3.5,8,['Water Parks'],False,False,False,False,True,False,False,False,False,27.6619959,85.2855884
Sun Kosi,5,1,['Bodies of Water'],False,False,True,False,False,False,False,False,False,26.9127187,87.1392052
Dhumba Lake,4.5,11,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.7633085,83.7142639
Nagarkot Buddha Peace Park Hiking Trail,4,13,['Hiking Trails'],False,False,True,True,False,False,False,False,False,27.7201498,85.4976342
Nagarkot to Dhulikhel Hiking,4,2,['Scenic Walking Areas'],False,False,True,False,False,False,False,False,False,27.6708002,85.4265224
Taleju Mandir Temple,4.5,18,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False,27.7049154,85.305858
Daman,4.5,13,"['Historic Walking Areas', 'Biking Trails']",True,True,False,False,False,False,False,False,False,27.6078265,85.0146071
The White Gallery,5,1,['Art Galleries'],True,True,False,False,False,False,False,False,True,27.7216531,85.2424638
Mera Peak,4.5,14,['Mountains'],False,False,True,False,False,False,False,False,False,27.7090233,86.850271
Akash Bhairav Temple,4.5,87,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7060376,85.3072115
Pokhara Trade Mall,2.5,2,['Shopping Malls'],False,False,False,False,True,False,False,False,False,28.223847,83.9842464
MidTown Galleria,4,1,['Shopping Malls'],False,False,False,False,True,False,False,False,False,28.2113656,83.9822386
Mandala Street,4.5,46,"['Neighborhoods', 'Points of Interest & Landmarks']",False,False,False,False,False,False,False,False,False,27.7151546,85.3086283
Bageshwori Temple,4.5,16,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.0617362,81.621564
Ghar Gompa,4.5,9,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7216531,85.2424638
Memorial to Scott Fischer,4.5,22,"['Points of Interest & Landmarks', 'Cemeteries']",True,True,True,False,False,False,False,False,False,27.9311401,86.7346446
Sauraha Tharu Culture House,4,72,['Theaters'],False,True,False,False,True,False,False,False,False,27.5771839,84.4921928
Mount Climber Trekking Garment Pvt Ltd,5,2,['Factory Outlets'],False,False,False,False,False,False,False,True,False,27.7216531,85.2424638
Red Cliffs,4.5,10,['Caverns & Caves'],False,False,True,False,False,False,False,False,False,28.225859,83.9426053
Tilichol Lake,5,22,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.2263359,79.6879656
Gosainkunda,4.5,65,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.0822914,85.4091902
Miteri Park,3,2,['Parks'],False,False,False,False,False,False,False,False,False,27.7217192,85.3475327
Bagh Bhairab Temple,4.5,24,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.6588698,85.2532893
Sankhu Village,4.5,41,"['Points of Interest & Landmarks', 'Historic Walking Areas']",True,True,True,False,False,False,False,False,False,27.5115388,85.2993313
Bhat Bhateni,4,1,['Department Stores'],False,False,False,False,False,True,False,False,False,27.7209922,85.3308566
Amideva Buddha Park,4.5,15,['Parks'],False,False,False,False,False,False,False,False,False,27.7223837,85.3592926
Baha Bahi,4.5,19,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6712905,85.3220638
Patan Gate,3.5,42,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.6781967,85.319003
Kala Bairav,4.5,156,"['Religious Sites', 'Monuments & Statues']",True,True,False,False,False,False,False,False,True,27.692727,85.2754289
Vishwanath Mandir Temple,4,28,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False,27.6736891,85.3228823
Vajrayogini Temple,4.5,64,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7439725,85.4647057
Kanchenjunga,5,15,['Mountains'],False,False,True,False,False,False,False,False,False,27.7024898,88.1300253
Dolakha Bhimsen Mandir,5,7,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6779789,86.0742592
Phoksundo Lake,5,8,['Bodies of Water'],False,False,True,False,False,False,False,False,False,29.1958925,82.9155291
Astrek Climbing Wall,4.5,37,['Sports Complexes'],False,False,False,False,True,False,False,False,False,27.7163365,85.3103538
Old Gurung Museum,4.5,15,['Speciality Museums'],False,False,False,False,False,False,False,False,False,27.7216531,85.2424638
The Ashokan Stupas,4,16,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6652384,85.3206924
Templo de Changu Narayan,4.5,58,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.6807653,85.1383218
Sauraha Art Gallery,4.5,8,['Art Galleries'],True,True,False,False,False,False,False,False,True,27.581814,84.4880337
Mardi Himal,5,11,['Geologic Formations'],False,False,True,False,False,False,False,False,False,28.4822318,83.9234016
Pindeshwor Temple,4.5,2,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.2885056,82.7232925
Siddha Baba Temple,4,3,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7210873,83.4671108
Taleju Bell,4,23,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False,27.6729717,85.3226982
Ranighat Palace,4.5,45,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.9267072,83.5256349
Lumbini Monastic Site,4.5,209,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.4792694,83.2667936
Valle del Naar,4.5,6,['Geologic Formations'],False,False,True,False,False,False,False,False,False,27.6726981,85.3231324
Mt Taboche,4.5,8,['Mountains'],False,False,True,False,False,False,False,False,False,27.9038873,86.754157
White Monastery,4,92,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.7237768,85.3674653
Taudaha Lake,4,34,['Bodies of Water'],False,False,True,False,False,False,False,False,False,27.6486985,85.2644903
Shechen Monastery,4.5,11,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7245092,85.3584263
55 Window Palace,4.5,189,['Historic Sites'],True,True,False,False,False,False,False,False,False,27.6721559,85.4263897
Elephant Breeding Centre,3,677,['Nature & Wildlife Areas'],False,False,True,True,False,False,False,False,False,27.5819444,84.4608669
The National Museum,4,90,"['Art Museums', 'History Museums']",True,True,False,False,False,False,False,False,False,27.705821,85.2867523
Aircrafts Museum,4,4,['Speciality Museums'],False,False,False,False,False,False,False,False,False,27.6937953,85.35128
Nagarjun Forest Reserve,4,39,"['Nature & Wildlife Areas', 'Forests']",False,False,True,True,False,False,False,False,False,27.7442178,85.254535
Indreshwar Mahadev Temple,4.5,23,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7217192,85.3475327
Degu Taleju Temple,4,91,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6904319,85.2968783
Dattatreya Temple,4.5,139,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6734817,85.4331972
Rato Machhendranath Temple,4,15,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6296562,85.2999366
Shiv Jatta,4.5,2,['Religious Sites'],True,True,False,False,False,False,False,False,True,26.8436661,87.3220217
Cathedral of the Assumption of the Blessed Virgin Mary,5,12,"['Religious Sites', 'Churches & Cathedrals']",True,True,False,False,False,False,False,False,True,27.6726341,85.3044028
Image Ark,4.5,5,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.6755123,85.3241746
Seto Machindranath Temple,4.5,59,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7066835,85.3080359
Panchakanya Temple,4.5,2,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.7216531,85.2424638
Nagi Gompa,4.5,15,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7831815,85.3795645
Ambulapcha-La,4.5,3,['Hiking Trails'],False,False,True,True,False,False,False,False,False,28.0022052,86.8501569
Datankali Temple,4.5,6,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.2623101,85.1691304
Halesi Mahadev Temple,4.5,5,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False,27.193266,86.6201323
Casino Royale,3.5,51,['Casinos'],False,False,False,False,True,False,False,False,False,27.7121488,85.3170113
Taumadhi Square,4.5,241,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.6709202,85.4270467
Freak Street (Jhhonchen Tole),3,171,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.7025723,85.3058668
ISKCON,4.5,3,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7216531,85.2424638
Aarya Ghat,4,18,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.7094523,85.3463231
Eternal Peace Flame,4,61,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.4747353,83.273514
Tengboche Gompa,4.5,93,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.8359985,86.7617509
Bhat-Bhateni Supermarket and Departmental Store,3.5,7,['Shopping Malls'],False,False,False,False,True,False,False,False,False,27.7216531,85.2424638
Basantpur Dabali,4,14,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False,27.7035908,85.3052152
Banepa Chnadeshwori Temple,5,2,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6377362,85.5323995
Taragaon Museum,4.5,10,['History Museums'],True,True,False,False,False,False,False,False,False,27.7201836,85.3540158
Boudha Farmers Market at Utpala Cafe,5,15,['Farmers Markets'],False,False,False,False,True,False,True,False,False,27.7244642,85.3602138
Shukla Phanta National Park,4,11,"['National Parks', 'Nature & Wildlife Areas']",False,False,True,False,False,False,False,False,False,28.8554386,80.2522463
Chhango Adventure Canyoning In Nepal,5,20,['Sports Camps & Clinics'],False,False,False,True,False,True,False,False,False,27.715298,85.3077642
Jumla,4.5,3,['Nan'],False,False,False,False,False,False,False,False,False,29.2375015,81.6581624
Kwa Bahal,5,3,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7216531,85.2424638
Kalika Bhagwati Temple,4.5,4,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.2554203,83.6113741
Boudha Stupa Thanka Center,4,11,['Art Galleries'],True,True,False,False,False,False,False,False,True,27.7210932,85.3602582
Jagan Narayan Temple,3.5,21,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.6788141,85.3285167
Kaiser Library,4,40,['Libraries'],True,True,False,False,False,False,False,False,False,27.7147729,85.3124044
Royal Thai Monastery,4.5,57,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.4811538,83.2757643
The Natural History Museum,4,20,['Natural History Museums'],True,True,False,False,False,False,False,False,False,27.7145253,85.2857607
Ganesh Mandir,3.5,7,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False,27.7217192,85.3475327
Manjushree Park,3,1,['Parks'],False,False,False,False,False,False,False,False,False,27.6921512,85.2559261
Dharapani Temple,4,1,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7172041,84.2610913
Guhyeshwari Temple,4,22,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7112609,85.3512429
Manakamana Mandir Temple,4,21,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False,27.7217192,85.3475327
Kag Chode Thupten Samphel Ling Monastery,4.5,11,"['Universities & Schools', 'Religious Sites']",False,False,False,False,False,True,False,False,False,28.8375888,83.7815285
Shey Phoksundo National Park,5,5,['National Parks'],False,False,True,False,False,False,False,False,False,29.3401705,82.4242267
Maula Kalika,4.5,2,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.727521,84.4065568
Ghadiarwa Pokhari,4.5,10,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.0141799,84.8727
Durbar Marg Street,3.5,39,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False,27.71245,85.3155822
Bara Gaon,4,2,"['Neighborhoods', 'Hiking Trails']",False,False,False,False,False,False,False,False,False,27.2432141,84.6595615
Gumba Danda,5,2,['Historic Walking Areas'],True,True,False,False,False,False,False,False,False,27.738709,85.0710669
Tea Garden,5,1,"['Nature & Wildlife Areas', 'Scenic Walking Areas']",False,False,True,True,False,False,False,False,False,27.7216531,85.2424638
Tribhuvan Park,4,13,['Parks'],False,False,False,False,False,False,False,False,False,27.6933703,85.2117081
Shiva Parvati Temple,4,19,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.6990715,85.3052986
Thubchen Gompa,4.5,17,['Religious Sites'],True,True,False,False,False,False,False,False,True,29.1827363,83.9539683
Hari Shanker Temple,3.5,18,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7216531,85.2424638
Bulbule Lake,4,4,['Bodies of Water'],False,False,True,False,False,False,False,False,False,28.5819921,81.6176434
Ambikeshwori Temple,4,1,['Religious Sites'],True,True,False,False,False,False,False,False,True,28.0427442,82.4986922
Manakamana Mandir,4.5,2,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.8186236,84.6584076
Santaneshwar Mahadev Temple,4,1,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False,27.7216531,85.2424638
Bishal Bazaar,3.5,46,['Shopping Malls'],False,False,False,False,True,False,False,False,False,27.7042993,85.3075129
Pottery Square,4,356,"['Neighborhoods', 'Points of Interest & Landmarks']",False,False,False,False,False,False,False,False,False,27.6793234,85.3826541
Marpha Monastery,4.5,7,['Religious Sites'],True,True,False,False,False,False,False,False,True,27.7172041,84.2610913
Khaptad National Park,5,8,['National Parks'],False,False,True,False,False,False,False,False,False,29.3801717,80.9849783
